record_type,group,value,candidates,clean_candidates,return_observations_including_expired_marks,tp_before_sl,sl_before_tp,ambiguous_intracandle,neither_expired,winrate_pct,average_gross_return_pct,average_net_return_pct,median_net_return_pct,total_net_return_pct_naive,profit_factor,average_winner_pct,average_loser_pct,payoff_ratio,expectancy_pct_per_trade,clean_binary_expectancy_pct_per_trade,average_planned_rr,average_quality_score,average_mfe_pct,average_mae_pct,average_bars_to_outcome,max_consecutive_losses,max_consecutive_wins,approximate_equity_final_1_unit_additive,max_drawdown_pct_naive_additive
correlation,quality_score_vs_net_return_pct,-0.008195579730137636,444,444,444,143,301,0,0,32.207207207207205,0.03397557810437809,-0.2060244218956219,-0.48227623145540083,-91.47484332165617,0.5202185439857387,0.6915726275112095,-0.6324575716138175,1.0934688088982008,-0.2060244218956219,-0.2060244218956219,2.3854507027027028,78.77673468468468,0.5850427357633011,0.4665308979742619,7.051801801801802,13,6,0.08525156678343869,94.3828200806766
correlation,quality_score_vs_tp_before_sl,-0.053800527564818006,444,444,444,143,301,0,0,32.207207207207205,0.03397557810437809,-0.2060244218956219,-0.48227623145540083,-91.47484332165617,0.5202185439857387,0.6915726275112095,-0.6324575716138175,1.0934688088982008,-0.2060244218956219,-0.2060244218956219,2.3854507027027028,78.77673468468468,0.5850427357633011,0.4665308979742619,7.051801801801802,13,6,0.08525156678343869,94.3828200806766
decile,D1_low_to_high,75.04685777777777,45,45,45,18,27,0,0,40.0,0.11549035951397592,-0.12450964048602407,-0.4244311281090126,-5.6029338218710825,0.6406778412528745,0.5550072945674935,-0.5775209305217025,0.9610167618793117,-0.12450964048602407,-0.12450964048602407,1.9651268666666668,75.04685777777777,0.6232921178397919,0.3757198040893638,5.644444444444445,8,4,0.9439706617812892,8.308880291469253
decile,D2_low_to_high,76.87904772727273,44,44,44,14,30,0,0,31.818181818181817,0.040682944610154204,-0.1993170553898458,-0.4293748817116654,-8.769950437153215,0.5190591337153746,0.6727650809824036,-0.6062887190302289,1.1096447284364865,-0.1993170553898458,-0.1993170553898458,2.007926409090909,76.87904772727273,0.5093980094069394,0.42965411513941665,5.5,7,3,0.9123004956284674,10.909623593033677
decile,D3_low_to_high,77.5785711111111,45,45,45,12,33,0,0,26.666666666666668,-0.0768347462228681,-0.3168347462228681,-0.5631008531871041,-14.257563580029064,0.349890659252102,0.6393436619687208,-0.6645359855652639,0.9620903545575276,-0.3168347462228681,-0.3168347462228681,1.9676671777777779,77.5785711111111,0.5758882691722729,0.4691769284233602,7.777777777777778,9,2,0.8574243641997094,15.212895105901547
decile,D4_low_to_high,78.03742727272727,44,44,44,12,32,0,0,27.27272727272727,-0.06969965331328148,-0.3096996533132815,-0.49391676899118175,-13.626784745784384,0.29183139143619735,0.4620828316217224,-0.599118085163908,0.7712717126462721,-0.3096996533132815,-0.3096996533132815,2.0655935454545453,78.03742727272727,0.37719586843859426,0.5711145273480679,3.8636363636363638,11,2,0.8637321525421556,13.726065551913255
decile,D5_low_to_high,78.45419545454546,44,44,44,16,28,0,0,36.36363636363637,0.02849983587287296,-0.21150016412712702,-0.4292638681636549,-9.306007221593589,0.4848151325556854,0.5437588813431211,-0.6430767615386974,0.845558281474925,-0.21150016412712702,-0.21150016412712702,2.097411863636364,78.45419545454546,0.5068416923801632,0.40284377024296525,7.0,6,3,0.9069399277840644,9.30600722159356
decile,D6_low_to_high,79.00096222222221,45,45,45,17,28,0,0,37.77777777777778,0.14331536492002211,-0.09668463507997786,-0.4744422733797199,-4.350808578599003,0.763106328571059,0.8244278443084646,-0.6559314975658179,1.2568810117640972,-0.09668463507997786,-0.09668463507997786,2.228316177777778,79.00096222222221,0.6910136225675644,0.4222806900582656,7.5777777777777775,4,4,0.9564919142140101,6.5792163235245535
decile,D7_low_to_high,79.48016818181817,44,44,44,16,28,0,0,36.36363636363637,0.016821190979989954,-0.22317880902001005,-0.5165421392222962,-9.819867596880444,0.5096701641586625,0.6308115287797901,-0.711173287762753,0.887001156587631,-0.22317880902001005,-0.22317880902001005,2.295314386363636,79.48016818181817,0.6692796924544674,0.5905705613781781,6.795454545454546,8,3,0.9018013240311957,10.839896197392507
decile,D8_low_to_high,80.10877111111111,45,45,45,18,27,0,0,40.0,0.2016413251268745,-0.03835867487312551,-0.43751567431046057,-1.7261403692906478,0.8908088117446619,0.7823489727010626,-0.5854971065892509,1.3362132176169932,-0.03835867487312551,-0.03835867487312551,2.4950459555555558,80.10877111111111,0.6792787031585229,0.3922557969676652,8.6,5,3,0.9827385963070933,3.8306615993973123
