rr_bucket,min_rr,max_rr,candidates,clean_candidates,return_observations_including_expired_marks,tp_before_sl,sl_before_tp,ambiguous_intracandle,neither_expired,winrate_pct,average_gross_return_pct,average_net_return_pct,median_net_return_pct,total_net_return_pct_naive,profit_factor,average_winner_pct,average_loser_pct,payoff_ratio,expectancy_pct_per_trade,clean_binary_expectancy_pct_per_trade,average_planned_rr,average_quality_score,average_mfe_pct,average_mae_pct,average_bars_to_outcome,max_consecutive_losses,max_consecutive_wins,approximate_equity_final_1_unit_additive,max_drawdown_pct_naive_additive
1.5-<2,1.500601,1.996073,181,181,181,70,111,0,0,38.67403314917127,0.046574525075712886,-0.1934254749242871,-0.4652831842162559,-35.01001096129596,0.53016856043488,0.5630234597958071,-0.6704653436666889,0.839750279584481,-0.1934254749242871,-0.1934254749242871,1.716507270718232,77.88499944751382,0.568657196634692,0.4523579617225263,6.50828729281768,11,7,0.6498998903870408,36.81862923614981
2-<3,2.007189,2.985112,185,185,185,51,134,0,0,27.56756756756757,-0.022173818039526203,-0.26217381803952616,-0.5069042157520276,-48.50215633731234,0.41443287519761784,0.6692549417881433,-0.6166728236455795,1.085267448355701,-0.26217381803952616,-0.26217381803952616,2.407733491891892,78.74701243243243,0.5467519592683368,0.4792472021891725,7.264864864864865,27,4,0.5149784366268763,50.01146202611844
3-<5,3.007525,4.737512,72,72,72,22,50,0,0,30.555555555555557,0.1965420051172896,-0.04345799488271043,-0.43123307736346345,-3.128975631555152,0.8901351202762232,1.1523291598727796,-0.5696043429751261,2.023034364264144,-0.04345799488271043,-0.04345799488271043,3.601629375,80.7222375,0.7346705306313093,0.4416147497893723,7.875,7,4,0.9687102436844485,7.822623781707784
5-8,5.44459,7.891495,3,3,3,0,3,0,0,0.0,-0.45216440595235624,-0.6921644059523563,-0.74198801245981,-2.076493217857069,0.0,,-0.6921644059523563,,-0.6921644059523563,-0.6921644059523563,6.307246333333333,83.07363333333333,0.7794532215124369,0.6762262272927426,12.666666666666666,3,0,0.9792350678214292,2.0764932178570783
>8,8.029007,8.557575,3,3,3,0,3,0,0,0.0,-0.6790690578785314,-0.9190690578785313,-0.8368143192847963,-2.757207173635594,0.0,,-0.9190690578785313,,-0.9190690578785313,-0.9190690578785313,8.260848666666666,83.422,0.1494239177975198,0.9257515190283622,1.3333333333333333,3,0,0.9724279282636441,2.7572071736355896
