group,candidates,clean_candidates,return_observations_including_expired_marks,tp_before_sl,sl_before_tp,ambiguous_intracandle,neither_expired,winrate_pct,average_gross_return_pct,average_net_return_pct,median_net_return_pct,total_net_return_pct_naive,profit_factor,average_winner_pct,average_loser_pct,payoff_ratio,expectancy_pct_per_trade,clean_binary_expectancy_pct_per_trade,average_planned_rr,average_quality_score,average_mfe_pct,average_mae_pct,average_bars_to_outcome,max_consecutive_losses,max_consecutive_wins,approximate_equity_final_1_unit_additive,max_drawdown_pct_naive_additive,best_candidate_id,best_net_return_pct,worst_candidate_id,worst_net_return_pct,setup_type_distribution,monthly_performance
LONG_UP_CONTINUATION_RETEST,160,158,158,47,111,2,0,29.746835443037973,-0.010077110341662308,-0.2500771103416623,-0.4654048342367553,-39.51218343398262,0.42187569118399304,0.6095156830460509,-0.6140488336679912,0.9926176056798907,-0.2500771103416623,-0.2500771103416623,2.1466401265822785,78.33594303797469,0.5280887294091862,0.4253270911115003,6.310126582278481,13,4,0.6048781656601742,42.73053043767281,ET-HED-0203,2.332479518475166,ET-HED-0403,-1.5708166669157946,"{""LONG_UP_CONTINUATION_RETEST"": 160}","[{""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 1.0265589169080758, ""average_bars_to_outcome"": 6.4, ""average_gross_return_pct"": 0.32852972302691846, ""average_loser_pct"": -0.5619629916340672, ""average_mae_pct"": 0.30333418365478393, ""average_mfe_pct"": 0.946439039636472, ""average_net_return_pct"": 0.08852972302691843, ""average_planned_rr"": 2.3208418666666666, ""average_quality_score"": 78.08493, ""average_winner_pct"": 0.9391740421989765, ""candidates"": 30, ""clean_binary_expectancy_pct_per_trade"": 0.08852972302691843, ""clean_candidates"": 30, ""expectancy_pct_per_trade"": 0.08852972302691843, ""max_consecutive_losses"": 5, ""max_consecutive_wins"": 4, ""max_drawdown_pct_naive_additive"": 3.4363597765161598, ""median_net_return_pct"": -0.37358013490182185, ""month"": ""2025-07"", ""neither_expired"": 0, ""payoff_ratio"": 1.6712382419846918, ""profit_factor"": 1.2780057144588821, ""return_observations_including_expired_marks"": 30, ""sl_before_tp"": 17, ""total_net_return_pct_naive"": 2.655891690807553, ""tp_before_sl"": 13, ""winrate_pct"": 43.333333333333336}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9285307856240247, ""average_bars_to_outcome"": 5.2, ""average_gross_return_pct"": 0.06132696406006244, ""average_loser_pct"": -0.5946346463643807, ""average_mae_pct"": 0.380040218413532, ""average_mfe_pct"": 0.5145425805916924, ""average_net_return_pct"": -0.17867303593993755, ""average_planned_rr"": 2.151226525, ""average_quality_score"": 78.367725, ""average_winner_pct"": 0.6852472318646752, ""candidates"": 40, ""clean_binary_expectancy_pct_per_trade"": -0.17867303593993755, ""clean_candidates"": 40, ""expectancy_pct_per_trade"": -0.17867303593993755, ""max_consecutive_losses"": 7, ""max_consecutive_wins"": 3, ""max_drawdown_pct_naive_additive"": 8.10443907437735, ""median_net_return_pct"": -0.45911096910303817, ""month"": ""2025-08"", ""neither_expired"": 0, ""payoff_ratio"": 1.152383629265976, ""profit_factor"": 0.5548513770539885, ""return_observations_including_expired_marks"": 40, ""sl_before_tp"": 27, ""total_net_return_pct_naive"": -7.146921437597501, ""tp_before_sl"": 13, ""winrate_pct"": 32.5}, {""ambiguous_intracandle"": 1, ""approximate_equity_final_1_unit_additive"": 0.915945992172093, ""average_bars_to_outcome"": 6.576923076923077, ""average_gross_return_pct"": -0.08328464549195085, ""average_loser_pct"": -0.5309297296634452, ""average_mae_pct"": 0.33173943694089864, ""average_mfe_pct"": 0.3201644384786699, ""average_net_return_pct"": -0.3232846454919508, ""average_planned_rr"": 2.015850615384615, ""average_quality_score"": 78.45651538461539, ""average_winner_pct"": 0.14391679389391135, ""candidates"": 27, ""clean_binary_expectancy_pct_per_trade"": -0.3232846454919508, ""clean_candidates"": 26, ""expectancy_pct_per_trade"": -0.3232846454919508, ""max_consecutive_losses"": 9, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 8.405400782790695, ""median_net_return_pct"": -0.38194046592745046, ""month"": ""2025-09"", ""neither_expired"": 0, ""payoff_ratio"": 0.2710656153784038, ""profit_factor"": 0.13727004842108048, ""return_observations_including_expired_marks"": 26, ""sl_before_tp"": 18, ""total_net_return_pct_naive"": -8.405400782790721, ""tp_before_sl"": 8, ""winrate_pct"": 30.76923076923077}, {""ambiguous_intracandle"": 1, ""approximate_equity_final_1_unit_additive"": 0.8954330180728584, ""average_bars_to_outcome"": 5.923076923076923, ""average_gross_return_pct"": -0.16218069971977547, ""average_loser_pct"": -0.6524838350395188, ""average_mae_pct"": 0.4930536335409099, ""average_mfe_pct"": 0.3615453916860688, ""average_net_return_pct"": -0.4021806997197755, ""average_planned_rr"": 2.085291769230769, ""average_quality_score"": 78.21749230769231, ""average_winner_pct"": 0.4321630846793693, ""candidates"": 27, ""clean_binary_expectancy_pct_per_trade"": -0.4021806997197755, ""clean_candidates"": 26, ""expectancy_pct_per_trade"": -0.4021806997197755, ""max_consecutive_losses"": 6, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 10.456698192714164, ""median_net_return_pct"": -0.5304614446775391, ""month"": ""2025-10"", ""neither_expired"": 0, ""payoff_ratio"": 0.6623353123425573, ""profit_factor"": 0.19870059370276713, ""return_observations_including_expired_marks"": 26, ""sl_before_tp"": 20, ""total_net_return_pct_naive"": -10.45669819271416, ""tp_before_sl"": 6, ""winrate_pct"": 23.076923076923077}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9146952926357717, ""average_bars_to_outcome"": 6.166666666666667, ""average_gross_return_pct"": -0.11543628068428496, ""average_loser_pct"": -0.6689644769836872, ""average_mae_pct"": 0.5764158827974638, ""average_mfe_pct"": 0.5085606458517057, ""average_net_return_pct"": -0.35543628068428496, ""average_planned_rr"": 2.246127125, ""average_quality_score"": 78.5404375, ""average_winner_pct"": 0.5851483082139218, ""candidates"": 24, ""clean_binary_expectancy_pct_per_trade"": -0.35543628068428496, ""clean_candidates"": 24, ""expectancy_pct_per_trade"": -0.35543628068428496, ""max_consecutive_losses"": 8, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 8.530470736422835, ""median_net_return_pct"": -0.5669174257615708, ""month"": ""2025-11"", ""neither_expired"": 0, ""payoff_ratio"": 0.8747075941196661, ""profit_factor"": 0.29156919803988873, ""return_observations_including_expired_marks"": 24, ""sl_before_tp"": 18, ""total_net_return_pct_naive"": -8.530470736422838, ""tp_before_sl"": 6, ""winrate_pct"": 25.0}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9237141602473503, ""average_bars_to_outcome"": 10.333333333333334, ""average_gross_return_pct"": -0.395715331272081, ""average_loser_pct"": -0.7184674370082591, ""average_mae_pct"": 0.6351204274805083, ""average_mfe_pct"": 0.3777694790971175, ""average_net_return_pct"": -0.635715331272081, ""average_planned_rr"": 1.9131725, ""average_quality_score"": 78.44395, ""average_winner_pct"": 0.27455783182587834, ""candidates"": 12, ""clean_binary_expectancy_pct_per_trade"": -0.635715331272081, ""clean_candidates"": 12, ""expectancy_pct_per_trade"": -0.635715331272081, ""max_consecutive_losses"": 10, ""max_consecutive_wins"": 1, ""max_drawdown_pct_naive_additive"": 7.628583975264968, ""median_net_return_pct"": -0.7414885936861212, ""month"": ""2025-12"", ""neither_expired"": 0, ""payoff_ratio"": 0.3821437377442649, ""profit_factor"": 0.03474033979493317, ""return_observations_including_expired_marks"": 12, ""sl_before_tp"": 11, ""total_net_return_pct_naive"": -7.628583975264972, ""tp_before_sl"": 1, ""winrate_pct"": 8.333333333333332}]"
RANGE_MEAN_REVERSION_CANDIDATE,93,92,92,34,58,1,0,36.95652173913043,0.10987185737795294,-0.13012814262204705,-0.46232742170601837,-11.971789121228326,0.6734635663673384,0.7245258229414315,-0.631132191400638,1.147977924139046,-0.13012814262204705,-0.13012814262204705,2.4138981630434784,78.61534891304348,0.6137315881795468,0.46122890061818217,6.119565217391305,9,4,0.880282108787717,15.468408720792551,ET-HED-0127,2.173723384500546,ET-HED-0197,-1.083461514576765,"{""RANGE_MEAN_REVERSION_CANDIDATE"": 93}","[{""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9543106889651927, ""average_bars_to_outcome"": 7.5, ""average_gross_return_pct"": -0.0863522216771951, ""average_loser_pct"": -0.6535083598691829, ""average_mae_pct"": 0.48043968352263006, ""average_mfe_pct"": 0.45444836597085553, ""average_net_return_pct"": -0.32635222167719513, ""average_planned_rr"": 2.233386, ""average_quality_score"": 78.49584285714286, ""average_winner_pct"": 0.49153812380277445, ""candidates"": 14, ""clean_binary_expectancy_pct_per_trade"": -0.32635222167719513, ""clean_candidates"": 14, ""expectancy_pct_per_trade"": -0.32635222167719513, ""max_consecutive_losses"": 9, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 6.1896178308625505, ""median_net_return_pct"": -0.5720703652073671, ""month"": ""2025-07"", ""neither_expired"": 0, ""payoff_ratio"": 0.7521527710849314, ""profit_factor"": 0.30086110843397246, ""return_observations_including_expired_marks"": 14, ""sl_before_tp"": 10, ""total_net_return_pct_naive"": -4.5689311034807325, ""tp_before_sl"": 4, ""winrate_pct"": 28.57142857142857}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9891493849146168, ""average_bars_to_outcome"": 5.6, ""average_gross_return_pct"": 0.1676625660974451, ""average_loser_pct"": -0.6349540821092934, ""average_mae_pct"": 0.344954846927249, ""average_mfe_pct"": 0.645601688076034, ""average_net_return_pct"": -0.07233743390255487, ""average_planned_rr"": 2.1976406666666666, ""average_quality_score"": 78.07921333333334, ""average_winner_pct"": 0.7715875384075529, ""candidates"": 15, ""clean_binary_expectancy_pct_per_trade"": -0.07233743390255487, ""clean_candidates"": 15, ""expectancy_pct_per_trade"": -0.07233743390255487, ""max_consecutive_losses"": 2, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 2.1326392393530735, ""median_net_return_pct"": -0.49194234592446506, ""month"": ""2025-08"", ""neither_expired"": 0, ""payoff_ratio"": 1.2151863577982969, ""profit_factor"": 0.8104721164401046, ""return_observations_including_expired_marks"": 15, ""sl_before_tp"": 9, ""total_net_return_pct_naive"": -1.0850615085383233, ""tp_before_sl"": 6, ""winrate_pct"": 40.0}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9834602639933077, ""average_bars_to_outcome"": 5.846153846153846, ""average_gross_return_pct"": 0.11277126148698476, ""average_loser_pct"": -0.4970817702938423, ""average_mae_pct"": 0.303772309838913, ""average_mfe_pct"": 0.4794719082739044, ""average_net_return_pct"": -0.12722873851301525, ""average_planned_rr"": 2.3833595384615385, ""average_quality_score"": 78.9318846153846, ""average_winner_pct"": 0.4645361123363081, ""candidates"": 13, ""clean_binary_expectancy_pct_per_trade"": -0.12722873851301525, ""clean_candidates"": 13, ""expectancy_pct_per_trade"": -0.12722873851301525, ""max_consecutive_losses"": 4, ""max_consecutive_wins"": 3, ""max_drawdown_pct_naive_additive"": 3.5128799923023193, ""median_net_return_pct"": -0.4245738851179455, ""month"": ""2025-09"", ""neither_expired"": 0, ""payoff_ratio"": 0.9345265509570079, ""profit_factor"": 0.5889164241247685, ""return_observations_including_expired_marks"": 13, ""sl_before_tp"": 8, ""total_net_return_pct_naive"": -1.653973600669198, ""tp_before_sl"": 5, ""winrate_pct"": 38.46153846153847}, {""ambiguous_intracandle"": 1, ""approximate_equity_final_1_unit_additive"": 0.9834567756939359, ""average_bars_to_outcome"": 4.066666666666666, ""average_gross_return_pct"": 0.1297118379595708, ""average_loser_pct"": -0.671958424958851, ""average_mae_pct"": 0.6013323085223898, ""average_mfe_pct"": 0.7269963577991934, ""average_net_return_pct"": -0.1102881620404292, ""average_planned_rr"": 2.6318327333333333, ""average_quality_score"": 79.02123333333334, ""average_winner_pct"": 1.0130523637964148, ""candidates"": 16, ""clean_binary_expectancy_pct_per_trade"": -0.1102881620404292, ""clean_candidates"": 15, ""expectancy_pct_per_trade"": -0.1102881620404292, ""max_consecutive_losses"": 8, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 6.328528415066582, ""median_net_return_pct"": -0.48776504417274397, ""month"": ""2025-10"", ""neither_expired"": 0, ""payoff_ratio"": 1.5076116708536715, ""profit_factor"": 0.7538058354268355, ""return_observations_including_expired_marks"": 15, ""sl_before_tp"": 10, ""total_net_return_pct_naive"": -1.6543224306064381, ""tp_before_sl"": 5, ""winrate_pct"": 33.33333333333333}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.966815572616442, ""average_bars_to_outcome"": 5.708333333333333, ""average_gross_return_pct"": 0.10173155256850824, ""average_loser_pct"": -0.6466767949422615, ""average_mae_pct"": 0.5544005532887233, ""average_mfe_pct"": 0.6261926827398426, ""average_net_return_pct"": -0.13826844743149178, ""average_planned_rr"": 2.4953776666666667, ""average_quality_score"": 78.5805625, ""average_winner_pct"": 0.8785482475900478, ""candidates"": 24, ""clean_binary_expectancy_pct_per_trade"": -0.13826844743149178, ""clean_candidates"": 24, ""expectancy_pct_per_trade"": -0.13826844743149178, ""max_consecutive_losses"": 4, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 3.9923674640867928, ""median_net_return_pct"": -0.5116353711547128, ""month"": ""2025-11"", ""neither_expired"": 0, ""payoff_ratio"": 1.3585584861885898, ""profit_factor"": 0.6792792430942949, ""return_observations_including_expired_marks"": 24, ""sl_before_tp"": 16, ""total_net_return_pct_naive"": -3.318442738355802, ""tp_before_sl"": 8, ""winrate_pct"": 33.33333333333333}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 1.0030894226042217, ""average_bars_to_outcome"": 9.090909090909092, ""average_gross_return_pct"": 0.2680856600383786, ""average_loser_pct"": -0.6625859265092194, ""average_mae_pct"": 0.3870856953614664, ""average_mfe_pct"": 0.7500271915891762, ""average_net_return_pct"": 0.02808566003837859, ""average_planned_rr"": 2.499671636363636, ""average_quality_score"": 78.64687272727272, ""average_winner_pct"": 0.6036453154947102, ""candidates"": 11, ""clean_binary_expectancy_pct_per_trade"": 0.02808566003837859, ""clean_candidates"": 11, ""expectancy_pct_per_trade"": 0.02808566003837859, ""max_consecutive_losses"": 2, ""max_consecutive_wins"": 4, ""max_drawdown_pct_naive_additive"": 2.5855166728702805, ""median_net_return_pct"": 0.10484237898343352, ""month"": ""2025-12"", ""neither_expired"": 0, ""payoff_ratio"": 0.9110445775311995, ""profit_factor"": 1.0932534930374396, ""return_observations_including_expired_marks"": 11, ""sl_before_tp"": 5, ""total_net_return_pct_naive"": 0.30894226042216444, ""tp_before_sl"": 6, ""winrate_pct"": 54.54545454545454}]"
SHORT_DOWN_CONTINUATION_RETEST,196,194,196,62,132,0,2,31.958762886597935,0.07143495714993757,-0.16856504285006244,-0.49991079600770305,-33.038748398612235,0.614262983584264,0.7357059782408047,-0.6485200107376897,1.1344383612834725,-0.16856504285006244,-0.2061385091053874,2.5664553659793814,79.21226340206185,0.6178229346378142,0.5026029868457859,8.097938144329897,11,5,0.6696125160138773,34.97482223271912,ET-HED-0044,4.440187207488289,ET-HED-0151,-1.4931838892029283,"{""SHORT_DOWN_CONTINUATION_RETEST"": 196}","[{""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9416717713684217, ""average_bars_to_outcome"": 7.5, ""average_gross_return_pct"": 0.015660659109313947, ""average_loser_pct"": -0.6240294335437452, ""average_mae_pct"": 0.4543622558445796, ""average_mfe_pct"": 0.6065349137276995, ""average_net_return_pct"": -0.22433934089068602, ""average_planned_rr"": 2.469683115384615, ""average_quality_score"": 79.87969999999999, ""average_winner_pct"": 0.8605337677390459, ""candidates"": 26, ""clean_binary_expectancy_pct_per_trade"": -0.22433934089068602, ""clean_candidates"": 26, ""expectancy_pct_per_trade"": -0.22433934089068602, ""max_consecutive_losses"": 11, ""max_consecutive_wins"": 3, ""max_drawdown_pct_naive_additive"": 6.962654169274236, ""median_net_return_pct"": -0.5128364018238711, ""month"": ""2025-07"", ""neither_expired"": 0, ""payoff_ratio"": 1.3789954791911614, ""profit_factor"": 0.5080509660177964, ""return_observations_including_expired_marks"": 26, ""sl_before_tp"": 19, ""total_net_return_pct_naive"": -5.832822863157837, ""tp_before_sl"": 7, ""winrate_pct"": 26.923076923076923}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9446466042912454, ""average_bars_to_outcome"": 6.882352941176471, ""average_gross_return_pct"": 0.1355596307381983, ""average_loser_pct"": -0.6607017958156092, ""average_mae_pct"": 0.6009472069339871, ""average_mfe_pct"": 0.5161075862554754, ""average_net_return_pct"": -0.1044403692618017, ""average_planned_rr"": 2.2111332549019607, ""average_quality_score"": 78.55551960784314, ""average_winner_pct"": 0.5868470070013118, ""candidates"": 53, ""clean_binary_expectancy_pct_per_trade"": -0.24485219487663545, ""clean_candidates"": 51, ""expectancy_pct_per_trade"": -0.1044403692618017, ""max_consecutive_losses"": 7, ""max_consecutive_wins"": 4, ""max_drawdown_pct_naive_additive"": 7.864087623548163, ""median_net_return_pct"": -0.4327414791485258, ""month"": ""2025-08"", ""neither_expired"": 2, ""payoff_ratio"": 0.8882176659999437, ""profit_factor"": 0.7535891289280141, ""return_observations_including_expired_marks"": 53, ""sl_before_tp"": 34, ""total_net_return_pct_naive"": -5.535339570875488, ""tp_before_sl"": 17, ""winrate_pct"": 33.33333333333333}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9468532137046259, ""average_bars_to_outcome"": 9.448275862068966, ""average_gross_return_pct"": 0.056735219671124174, ""average_loser_pct"": -0.57189751067931, ""average_mae_pct"": 0.4013438936857304, ""average_mfe_pct"": 0.5358219290183804, ""average_net_return_pct"": -0.18326478032887583, ""average_planned_rr"": 2.408242551724138, ""average_quality_score"": 78.4277551724138, ""average_winner_pct"": 0.5551374073369492, ""candidates"": 29, ""clean_binary_expectancy_pct_per_trade"": -0.18326478032887583, ""clean_candidates"": 29, ""expectancy_pct_per_trade"": -0.18326478032887583, ""max_consecutive_losses"": 5, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 6.875715327791696, ""median_net_return_pct"": -0.39715076553188045, ""month"": ""2025-09"", ""neither_expired"": 0, ""payoff_ratio"": 0.9706938690422818, ""profit_factor"": 0.5129678817341674, ""return_observations_including_expired_marks"": 29, ""sl_before_tp"": 19, ""total_net_return_pct_naive"": -5.314678629537399, ""tp_before_sl"": 10, ""winrate_pct"": 34.48275862068966}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.8854948237662619, ""average_bars_to_outcome"": 6.891891891891892, ""average_gross_return_pct"": -0.06947344928037297, ""average_loser_pct"": -0.738867644157228, ""average_mae_pct"": 0.5753400607332465, ""average_mfe_pct"": 0.7228708702115859, ""average_net_return_pct"": -0.30947344928037296, ""average_planned_rr"": 3.0267517027027027, ""average_quality_score"": 79.96395945945946, ""average_winner_pct"": 0.8498908768871358, ""candidates"": 37, ""clean_binary_expectancy_pct_per_trade"": -0.30947344928037296, ""clean_candidates"": 37, ""expectancy_pct_per_trade"": -0.30947344928037296, ""max_consecutive_losses"": 8, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 11.726560748953545, ""median_net_return_pct"": -0.5631008531871041, ""month"": ""2025-10"", ""neither_expired"": 0, ""payoff_ratio"": 1.1502613270561384, ""profit_factor"": 0.4260227137244958, ""return_observations_including_expired_marks"": 37, ""sl_before_tp"": 27, ""total_net_return_pct_naive"": -11.450517623373802, ""tp_before_sl"": 10, ""winrate_pct"": 27.027027027027028}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9704293111739195, ""average_bars_to_outcome"": 8.89655172413793, ""average_gross_return_pct"": 0.13803210749627534, ""average_loser_pct"": -0.6881975743856014, ""average_mae_pct"": 0.503733681640944, ""average_mfe_pct"": 0.8021737823500799, ""average_net_return_pct"": -0.10196789250372465, ""average_planned_rr"": 2.7698195517241375, ""average_quality_score"": 79.61164482758622, ""average_winner_pct"": 1.011868503071841, ""candidates"": 29, ""clean_binary_expectancy_pct_per_trade"": -0.10196789250372465, ""clean_candidates"": 29, ""expectancy_pct_per_trade"": -0.10196789250372465, ""max_consecutive_losses"": 6, ""max_consecutive_wins"": 2, ""max_drawdown_pct_naive_additive"": 5.888331740940077, ""median_net_return_pct"": -0.4982353937343737, ""month"": ""2025-11"", ""neither_expired"": 0, ""payoff_ratio"": 1.470316869360084, ""profit_factor"": 0.7738509838737286, ""return_observations_including_expired_marks"": 29, ""sl_before_tp"": 19, ""total_net_return_pct_naive"": -2.9570688826080147, ""tp_before_sl"": 10, ""winrate_pct"": 34.48275862068966}, {""ambiguous_intracandle"": 0, ""approximate_equity_final_1_unit_additive"": 0.9805167917094032, ""average_bars_to_outcome"": 10.818181818181818, ""average_gross_return_pct"": 0.15143996231546838, ""average_loser_pct"": -0.5280705795596221, ""average_mae_pct"": 0.34129187776756265, ""average_mfe_pct"": 0.5553707652851135, ""average_net_return_pct"": -0.0885600376845316, ""average_planned_rr"": 2.6708713636363637, ""average_quality_score"": 79.18937727272727, ""average_winner_pct"": 0.6805834105968768, ""candidates"": 22, ""clean_binary_expectancy_pct_per_trade"": -0.0885600376845316, ""clean_candidates"": 22, ""expectancy_pct_per_trade"": -0.0885600376845316, ""max_consecutive_losses"": 6, ""max_consecutive_wins"": 5, ""max_drawdown_pct_naive_additive"": 4.184134849203827, ""median_net_return_pct"": -0.4463082837378156, ""month"": ""2025-12"", ""neither_expired"": 0, ""payoff_ratio"": 1.2888114523714629, ""profit_factor"": 0.7364636870694076, ""return_observations_including_expired_marks"": 22, ""sl_before_tp"": 14, ""total_net_return_pct_naive"": -1.9483208290596952, ""tp_before_sl"": 8, ""winrate_pct"": 36.36363636363637}]"
