ambiguous,clean_trades,disposition,expectancy_pct,expired,losses,profit_factor,split,total_net_return_pct_naive,trade_candidates,universe,variant,winrate_pct,wins
0,2,AUDIT_ONLY,-0.06306670758657273,0,1,0.7433736975551566,TRAIN_DESIGN,-0.12613341517314547,2,327,break_confirmation_low__structural_high_only__fixed_2r,50.0,1
0,2,AUDIT_ONLY,0.6430963361565888,0,1,3.4808613858649724,OUT_OF_TIME_VALIDATION,1.2861926723131776,2,122,break_confirmation_low__structural_high_only__fixed_2r,50.0,1
0,4,AUDIT_ONLY,0.290014814285008,0,2,2.1486278938074754,FULL_DIAGNOSTIC,1.160059257140032,4,449,break_confirmation_low__structural_high_only__fixed_2r,50.0,2
0,5,AUDIT_ONLY,-0.37101319378264225,0,4,0.3293884488668065,TRAIN_DESIGN,-1.8550659689132112,5,327,break_confirmation_low__structural_high_only__nearest_support,20.0,1
0,2,AUDIT_ONLY,1.9385544288676777,0,1,8.47832720633682,OUT_OF_TIME_VALIDATION,3.8771088577353554,2,122,break_confirmation_low__structural_high_only__nearest_support,50.0,1
0,7,AUDIT_ONLY,0.28886326983173494,0,5,1.6155988362451361,FULL_DIAGNOSTIC,2.0220428888221447,7,449,break_confirmation_low__structural_high_only__nearest_support,28.571428571428573,2
0,20,AUDIT_ONLY,-0.35531087137959283,1,16,0.322555346606071,TRAIN_DESIGN,-7.106217427591856,21,327,break_confirmation_low__structural_high_only__previous_low,20.0,4
0,10,AUDIT_ONLY,0.3825199698225895,0,5,2.0981950061361925,OUT_OF_TIME_VALIDATION,3.8251996982258953,10,122,break_confirmation_low__structural_high_only__previous_low,50.0,5
0,30,AUDIT_ONLY,-0.109367257645532,1,21,0.7651872038578863,FULL_DIAGNOSTIC,-3.28101772936596,31,449,break_confirmation_low__structural_high_only__previous_low,30.0,9
0,6,AUDIT_ONLY,-0.24443385014933025,0,3,0.3299283369999183,TRAIN_DESIGN,-1.4666031008959814,6,327,confirmation_close__atr_0_15__fixed_1_5r,50.0,3
0,1,AUDIT_ONLY,1.5041343570272026,0,0,,OUT_OF_TIME_VALIDATION,1.5041343570272026,1,122,confirmation_close__atr_0_15__fixed_1_5r,100.0,1
