file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
scripts/replay_5m_causal_target_hierarchy.py,83,horizon_minutes,60,horizon_minutes,UNKNOWN_REQUIRES_TRACE,,,,scripts/replay_5m_causal_target_hierarchy.py:83:function_default,trace behavior authority; no direct YAML reference on this expression
scripts/replay_5m_causal_target_hierarchy.py,97,horizon_minutes,60,horizon_minutes,UNKNOWN_REQUIRES_TRACE,,,,scripts/replay_5m_causal_target_hierarchy.py:97:function_default,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/api_contract/models.py,448,limit,50,limit,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/api_contract/models.py:448:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/api_contract/models.py,472,limit,50,limit,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/api_contract/models.py:472:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/async_loading/controller.py,142,max_results,20,max_results,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/async_loading/controller.py:142:function_default,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/async_loading/dispatcher.py,14,DEFAULT_DRAIN_INTERVAL_MS,40,DEFAULT_DRAIN_INTERVAL_MS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/async_loading/dispatcher.py:14:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/async_loading/dispatcher.py,15,DEFAULT_MAX_RESULTS_PER_TICK,20,DEFAULT_MAX_RESULTS_PER_TICK,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/async_loading/dispatcher.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/async_loading/executor.py,16,DEFAULT_MAX_WORKERS,2,DEFAULT_MAX_WORKERS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/async_loading/executor.py:16:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/async_loading/executor.py,17,DEFAULT_MAX_PENDING_REQUESTS,16,DEFAULT_MAX_PENDING_REQUESTS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/async_loading/executor.py:17:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/config/settings.py,13,DEFAULT_TIMEOUT_SECONDS,60.0,DEFAULT_TIMEOUT_SECONDS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/config/settings.py:13:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/config/settings.py,14,DEFAULT_MAX_RESPONSE_BYTES,2000000,DEFAULT_MAX_RESPONSE_BYTES,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/config/settings.py:14:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/config/settings.py,15,MAX_TIMEOUT_SECONDS,120.0,MAX_TIMEOUT_SECONDS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/config/settings.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/config/settings.py,16,MIN_PRODUCTION_READ_TIMEOUT_SECONDS,60.0,MIN_PRODUCTION_READ_TIMEOUT_SECONDS,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/config/settings.py:16:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/first_canary_workflow.py,282,active_interval_seconds,3.0,active_interval_seconds,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/first_canary_workflow.py:282:assignment,trace behavior authority; no direct YAML reference on this expression
../traders-client/src/traders_client/first_canary_workflow.py,283,quiet_interval_seconds,6.0,quiet_interval_seconds,UNKNOWN_REQUIRES_TRACE,,,,../traders-client/src/traders_client/first_canary_workflow.py:283:assignment,trace behavior authority; no direct YAML reference on this expression
