diagnostic,threshold,candidates,clean_candidates,return_observations,tp_before_sl,sl_before_tp,ambiguous_intracandle,neither_expired,winrate_pct,average_net_return_pct,expectancy_pct_per_trade,total_net_return_pct_naive,profit_factor,max_consecutive_losses,max_drawdown_pct_naive_additive
stop_distance_atr,0.5,43,43,43,19,24,0,0,44.18604651162791,-0.024042040573213058,-0.024042040573213058,-1.0338077446481617,0.9387040624899211,9,7.296460073613126
stop_distance_atr,0.75,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
stop_distance_atr,1.0,14,14,14,4,10,0,0,28.57142857142857,-0.48843018213640593,-0.48843018213640593,-6.838022549909683,0.2576088782601734,8,7.995200590564144
volume_ratio,0.6,49,49,49,22,27,0,0,44.89795918367347,-0.04546370842142902,-0.04546370842142902,-2.2277217126500233,0.8846031689907484,4,7.286395400133311
volume_ratio,0.7,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
volume_ratio,0.8,31,31,31,14,17,0,0,45.16129032258064,-0.07355766819442462,-0.07355766819442462,-2.2802877140271613,0.8304084862020651,6,7.888127515692014
volume_ratio,1.0,17,17,17,8,9,0,0,47.05882352941176,-0.029635590583989214,-0.029635590583989214,-0.5038050399278166,0.9365588017214469,3,3.9978048333150107
rr_upper_penalty,3.5,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
rr_upper_penalty,5.0,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
rr_upper_penalty,8.0,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
target_distance_atr_cap,3.0,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
target_distance_atr_cap,4.0,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
target_distance_atr_cap,5.0,37,37,37,17,20,0,0,45.94594594594595,-0.03757941776708955,-0.03757941776708955,-1.3904384573823132,0.9088008056592679,6,7.296460073613126
adx_bucket,ADX_<15,10,10,10,2,8,0,0,20.0,-0.2838376795921752,-0.2838376795921752,-2.838376795921752,0.37808873439249374,6,3.5913132413599733
adx_bucket,ADX_15_35,97,97,97,31,66,0,0,31.958762886597935,-0.24540707488800062,-0.24540707488800062,-23.804486264136067,0.44915894981451693,8,24.050055324452448
adx_bucket,ADX_>35,15,15,15,6,9,0,0,40.0,0.1712612105845769,0.1712612105845769,2.568918158768654,1.4081376747669083,6,4.1469845916029655
