candidate_id,symbol,setup_type,direction,entry_time,old_score,score_v2,filter_pass,fail_reasons,old_outcome,net_return_pct,split,short_reason
ET-HED-0423,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-27T15:45:00Z,75.8085,63.65,FAIL,TOO_TIGHT_STOP,SL_BEFORE_TP,-0.5015861982810323,TRAIN_DESIGN,TOO_TIGHT_STOP
ET-HED-0424,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-29T22:45:00Z,75.7439,67.85,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.9206959181661364,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0425,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-14T11:45:00Z,75.5944,68.6,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-1.3762610268497673,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0426,ETHUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-14T06:30:00Z,75.3789,52.25,FAIL,ENTRY_AFTER_EXHAUSTION,TP_BEFORE_SL,0.7505920132332083,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0427,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-09-27T18:45:00Z,75.3204,50.35,FAIL,TOO_TIGHT_STOP|CHOPPY_SIDEWAYS_CONTEXT|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.29017223751704246,TRAIN_DESIGN,TOO_TIGHT_STOP; CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0428,ETHUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-04T11:45:00Z,75.2896,65.9,FAIL,WEAK_CONFIRMATION_VOLUME,TP_BEFORE_SL,0.21697134233223342,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0429,BTCUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-07-24T04:15:00Z,75.2701,70.5,FAIL,CHOPPY_SIDEWAYS_CONTEXT,SL_BEFORE_TP,-0.6032514024878745,TRAIN_DESIGN,CHOPPY_SIDEWAYS_CONTEXT
ET-HED-0430,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-11T09:15:00Z,75.1932,56.25,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5434708622928324,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0431,BTCUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-09-18T20:00:00Z,75.1812,70.4,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.4829826112103254,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0432,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-13T18:45:00Z,75.0387,53.4,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.3077619206609799,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
