score_kind,decile,score_min,score_max,candidates,clean_candidates,return_observations,tp_before_sl,sl_before_tp,ambiguous_intracandle,neither_expired,winrate_pct,average_net_return_pct,expectancy_pct_per_trade,total_net_return_pct_naive,profit_factor,max_consecutive_losses,max_drawdown_pct_naive_additive
old_score,1,71.3237,76.3731,45,45,45,18,27,0,0,40.0,-0.12450964048602407,-0.12450964048602407,-5.6029338218710825,0.6406778412528744,8,8.308880291469253
old_score,2,76.3932,77.2646,44,44,44,14,30,0,0,31.818181818181817,-0.1993170553898458,-0.1993170553898458,-8.769950437153213,0.5190591337153745,7,10.909623593033677
old_score,3,77.2699,77.8621,45,45,45,12,33,0,0,26.666666666666668,-0.3168347462228681,-0.3168347462228681,-14.25756358002906,0.34989065925210205,9,15.212895105901547
old_score,4,77.8713,78.2238,44,44,44,12,32,0,0,27.27272727272727,-0.3096996533132815,-0.3096996533132815,-13.626784745784388,0.29183139143619724,11,13.726065551913255
old_score,5,78.2312,78.7469,44,44,44,16,28,0,0,36.36363636363637,-0.21150016412712702,-0.21150016412712702,-9.306007221593589,0.48481513255568537,6,9.30600722159356
old_score,6,78.7571,79.1998,45,45,45,17,28,0,0,37.77777777777778,-0.09668463507997786,-0.09668463507997786,-4.350808578599001,0.7631063285710592,4,6.5792163235245535
old_score,7,79.2019,79.7875,44,44,44,16,28,0,0,36.36363636363637,-0.22317880902001005,-0.22317880902001005,-9.819867596880439,0.5096701641586625,8,10.839896197392507
old_score,8,79.8305,80.4887,45,45,45,18,27,0,0,40.0,-0.03835867487312551,-0.03835867487312551,-1.7261403692906478,0.8908088117446619,5,3.8306615993973123
old_score,9,80.4905,81.3783,44,44,44,10,34,0,0,22.727272727272727,-0.3488652135850709,-0.3488652135850709,-15.350069397743123,0.29416065004654707,12,16.242154130429835
old_score,10,81.379,85.1778,44,44,44,10,34,0,0,22.727272727272727,-0.19692539937980857,-0.19692539937980857,-8.664717572711575,0.5997039695780697,9,13.751257241627366
score_v2,1,0.0,43.65,45,45,45,15,30,0,0,33.33333333333333,-0.1909101978736283,-0.1909101978736283,-8.590958904313274,0.5328855111168797,6,11.544608528924696
score_v2,2,43.65,49.65,44,44,44,11,33,0,0,25.0,-0.2858424255602796,-0.2858424255602796,-12.577066724652305,0.4325988541500114,10,12.577066724652287
score_v2,3,49.65,55.25,45,45,45,11,34,0,0,24.444444444444443,-0.2728249002345648,-0.2728249002345648,-12.277120510555413,0.39486262704986946,6,14.825667293171144
score_v2,4,55.3,59.9,44,44,44,16,28,0,0,36.36363636363637,-0.1523692913616679,-0.1523692913616679,-6.704248819913388,0.5581784688060076,7,7.98761215920758
score_v2,5,60.0,67.25,44,44,44,15,29,0,0,34.090909090909086,-0.21289076725243328,-0.21289076725243328,-9.367193759107062,0.4622666827617784,8,10.350889494987126
score_v2,6,67.25,72.65,45,45,45,15,30,0,0,33.33333333333333,-0.24975627673455264,-0.24975627673455264,-11.239032453054868,0.42491678949250816,10,12.934739893146007
score_v2,7,72.7,75.5,44,44,44,15,29,0,0,34.090909090909086,-0.1836611667725318,-0.1836611667725318,-8.0810913379914,0.5608304512901277,8,9.4745079275075
score_v2,8,75.65,77.75,45,45,45,20,25,0,0,44.44444444444444,-0.06123532614670199,-0.06123532614670199,-2.7555896766015886,0.8249220469339882,5,7.675837721041787
score_v2,9,77.95,82.25,44,44,44,13,31,0,0,29.545454545454547,-0.10662632704075915,-0.10662632704075915,-4.691558389793404,0.7812172595254152,14,11.955167989075287
score_v2,10,82.45,92.8,44,44,44,12,32,0,0,27.27272727272727,-0.3452496078562141,-0.3452496078562141,-15.190982745673427,0.31238946207815016,15,16.918666881726594
