candidate_id,family,symbol,direction,entry_time,label,net_return_pct,net_r,bars_to_outcome
ET27-00219,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-13T06:30:00Z,SL_BEFORE_TP,-0.9890006199597593,-1.3204269710923526,72
ET27-00220,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-13T06:45:00Z,SL_BEFORE_TP,-0.3868569023531205,-2.6342439214938294,1
ET27-00221,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-13T06:45:00Z,TP_BEFORE_SL,0.5090729932142696,1.019405981444824,8
ET27-00222,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-13T06:45:00Z,TP_BEFORE_SL,2.035475620863365,1.3417913175165472,30
ET27-00223,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-13T13:15:00Z,SL_BEFORE_TP,-1.0873822884108886,-1.2832251786263746,1
ET27-00224,RANGE_BOUNDARY_REJECTION,BTCUSDT,LONG,2025-02-14T12:45:00Z,SL_BEFORE_TP,-0.407348973361395,-2.434128905480125,2
ET27-00225,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-15T06:00:00Z,TP_BEFORE_SL,0.70879210897211,1.120570200156909,16
ET27-00226,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-15T09:45:00Z,TP_BEFORE_SL,0.3833352776395279,0.9224616945101042,2
ET27-00227,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-16T07:45:00Z,TP_BEFORE_SL,0.9073047013709956,1.1862211062415946,24
ET27-00228,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-16T13:00:00Z,TP_BEFORE_SL,0.20281961732771348,0.6870278869475357,2
ET27-00229,TRAP_REVERSAL,ETHUSDT,LONG,2025-02-16T13:45:00Z,SL_BEFORE_TP,-0.4374213511664913,-2.2156739814712387,1
ET27-00230,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-16T21:00:00Z,TP_BEFORE_SL,3.495304795908125,1.8714964303513275,76
ET27-00231,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-16T23:15:00Z,SL_BEFORE_TP,-0.5199152844545459,-1.857402268931736,10
ET27-00232,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-02-17T04:45:00Z,TP_BEFORE_SL,1.0610257086945127,1.2232952449792598,2
ET27-00233,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-17T11:30:00Z,SL_BEFORE_TP,-0.6240869225626186,-1.624858556492176,5
