candidate_id,family,symbol,direction,confirmation_time,entry_price,stop_price,target_price,target_kind,stop_distance_atr,target_distance_atr,planned_rr,volume_ratio_20,evidence,label,net_return_pct,net_r
ET27-00281,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-26T14:00:00Z,2391.43,2450.0214291011102,2274.247141797779,FIXED_2R_STRONG_MOMENTUM,4.00918724395148,8.01837448790296,2.0,3.130372152230149,"{""pivot_highs"": [[5372, 2496.25], [5382, 2440.4]], ""pivot_lows"": [[5360, 2457.77], [5379, 2423.48]], ""broken_support"": 2423.48}",SL_BEFORE_TP,-2.690058295710534,-1.097956852871698
ET27-00282,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-26T14:15:00Z,135.07,137.66719501224685,131.1742074816297,FIXED_1_5R,2.422869271441724,3.6343039071625864,1.5,2.4534932540873475,"{""pivot_highs"": [[5367, 142.21], [5371, 141.24]], ""pivot_lows"": [[5369, 140.26], [5379, 136.36]], ""broken_support"": 136.36}",SL_BEFORE_TP,-2.1628511233041072,-1.1248146552228127
ET27-00283,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-02-26T17:45:00Z,133.99,139.16444619118886,126.22833071321674,FIXED_1_5R,3.5822655818065625,5.373398372709844,1.5,1.2504918176408801,"{""pivot_highs"": [[5371, 141.24], [5390, 140.47]], ""pivot_lows"": [[5379, 136.36], [5385, 134.61]], ""broken_support"": 134.61}",SL_BEFORE_TP,-4.101815203514328,-1.062146940584209
ET27-00284,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-26T18:30:00Z,84752.01,85706.80994518133,83319.81008222798,FIXED_1_5R,1.1776755882451684,1.7665133823677617,1.5000000000000075,3.443230290856631,"{""breakdown_time"": ""2025-02-26T18:15:00Z"", ""broken_support"": 86280.82, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.2055924095431514}",TP_BEFORE_SL,1.4498713290363423,1.2869660288246438
ET27-00285,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-02-26T20:00:00Z,83160.54,85185.78735719899,79110.045285602,FIXED_2R_STRONG_MOMENTUM,2.3607760202956345,4.721552040591269,2.0,1.3002393257584117,"{""pivot_highs"": [[5371, 89314.45], [5388, 88530.0]], ""pivot_lows"": [[5393, 86280.82], [5402, 83418.0]], ""broken_support"": 83418.0}",SL_BEFORE_TP,-2.6753465684554207,-1.098548602120402
ET27-00286,TRAP_REVERSAL,SOLUSDT,SHORT,2025-02-27T02:15:00Z,137.79,139.01928646696467,136.43,FALSE_BREAKOUT_TO_MIDLINE,0.8408771074523661,0.9302899664704948,1.1063328496229679,1.085746405308723,"{""lower"": 134.77, ""upper"": 138.09, ""midline"": 136.43, ""width_atr"": 2.27100197697211, ""high_touches"": 2, ""low_touches"": 2, ""adx14"": 23.535583404744507}",TP_BEFORE_SL,0.7470092169242945,0.8373182554767025
ET27-00287,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-02-27T04:00:00Z,2318.01,2349.456378116138,2270.840432825794,FIXED_1_5R,1.5518514469583709,2.3277771704375563,1.5,1.0971530169736314,"{""pivot_highs"": [[5433, 2370.9], [5437, 2347.43]], ""pivot_lows"": [[5432, 2338.39], [5435, 2328.34]], ""broken_support"": 2328.34}",SL_BEFORE_TP,-1.596610977352883,-1.176911438877124
ET27-00288,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-27T14:45:00Z,2308.6,2337.427739868163,2265.3583901977554,FIXED_1_5R,1.6258231731901922,2.438734759785288,1.5,2.1733388159414346,"{""breakdown_time"": ""2025-02-27T14:30:00Z"", ""broken_support"": 2341.03, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.833237956709464}",SL_BEFORE_TP,-1.4887109013325397,-1.1921982099650834
ET27-00289,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-02-28T01:30:00Z,82528.0,83310.76957508811,81353.84563736783,FIXED_1_5R,1.3678888924251007,2.051833338637651,1.5,8.589912939068679,"{""breakdown_time"": ""2025-02-28T01:15:00Z"", ""broken_support"": 83881.08, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 2.3888061093696136}",TP_BEFORE_SL,1.1827345417702664,1.246966149038553
ET27-00290,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-02-28T01:30:00Z,2220.7,2266.3428048654805,2152.235792701779,FIXED_1_5R,2.112436865873529,3.168655298810293,1.5,9.016148574677986,"{""breakdown_time"": ""2025-02-28T01:15:00Z"", ""broken_support"": 2265.33, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 2.076371935444667}",TP_BEFORE_SL,2.843001184231145,1.383230664379463
